Date,NormalizedPrice,Market
2025-04-01,389.34288866078185,India
2025-05-01,396.7696890629259,India
2025-06-01,405.8485174576382,India
2025-07-01,392.8018457193485,India
2015-08-01,100.0,Japan
2015-09-01,97.56596247115719,Japan
2015-10-01,106.99123594668526,Japan
2015-11-01,105.2764989879506,Japan
2015-12-01,102.56578453493876,Japan
2016-01-01,96.45216442914676,Japan
2016-02-01,84.86980017135292,Japan
2016-03-01,91.80591763253231,Japan
2016-04-01,88.96562474342856,Japan
2016-05-01,97.1475399564425,Japan
2016-06-01,92.84016689861662,Japan
2016-07-01,103.23166256890023,Japan
2016-08-01,106.11324248927306,Japan
2016-09-01,105.58713429800244,Japan
2016-10-01,105.45502367134978,Japan
2016-11-01,103.99997948581856,Japan
2016-12-01,104.4524454008276,Japan
2017-01-01,106.63686955430083,Japan
2017-02-01,106.46726722788337,Japan
2017-03-01,105.91568611151536,Japan
2017-04-01,107.36148734109537,Japan
2017-05-01,108.61724826017598,Japan
2017-06-01,112.876671114323,Japan
2017-07-01,117.66057859442839,Japan
2017-08-01,114.92616942374616,Japan
2017-09-01,114.0807367609433,Japan
2017-10-01,122.67567459941625,Japan
2017-11-01,127.00369357440051,Japan
2017-12-01,127.47667345209345,Japan
2018-01-01,136.29060054594225,Japan
2018-02-01,136.13465230118027,Japan
2018-03-01,132.05035342079634,Japan
2018-04-01,130.57891286658014,Japan
2018-05-01,129.10746961291912,Japan
2018-06-01,131.2664313045446,Japan
2018-07-01,134.58527245691002,Japan
2018-08-01,135.02397841798123,Japan
2018-09-01,139.28023449940446,Japan
2018-10-01,130.04621794680477,Japan
2018-11-01,127.5435160801159,Japan
2018-12-01,117.16529677402337,Japan
2019-01-01,125.06433213626778,Japan
2019-02-01,121.84409299974581,Japan
2019-03-01,113.89718474517171,Japan
2019-04-01,123.74032923993792,Japan
2019-05-01,115.24543112317595,Japan
2019-06-01,122.70978802263409,Japan
2019-07-01,126.16867277716699,Japan
2019-08-01,124.35885359245566,Japan
2019-09-01,128.71891537387285,Japan
2019-10-01,132.8696816949634,Japan
2019-11-01,136.23003946274412,Japan
2019-12-01,140.07943413833672,Japan
2020-01-01,139.5467070846925,Japan
2020-02-01,124.60505678975377,Japan
2020-03-01,111.6107921717269,Japan
2020-04-01,119.93271060970407,Japan
2020-05-01,123.5979658887913,Japan
2020-06-01,127.17454135128388,Japan
2020-07-01,132.921033818977,Japan
2020-08-01,140.09886219559553,Japan
2020-09-01,135.85421688142313,Japan
